Date,ASX200,BHP,Reject shop (TRS)
1/3/2016,5270.5,15.898844,9.630605
1/4/2016,5184.399902,15.702342,9.533148
1/5/2016,5123.100098,15.318267,9.719204
1/6/2016,5010.299805,14.585848,9.249632
1/7/2016,4990.799805,14.603714,9.063578
1/10/2016,4932.200195,13.889157,8.9927
1/11/2016,4925.100098,13.406833,9.134457
1/12/2016,4987.399902,13.192467,9.41797
1/13/2016,4909.399902,13.290719,9.409109
1/14/2016,4892.799805,13.460425,9.524287
1/17/2016,4858.700195,13.06742,9.612886
1/18/2016,4903.100098,13.156738,9.772362
1/19/2016,4841.5,12.692279,9.993857
1/20/2016,4864,12.683347,10.144474
1/21/2016,4916,13.630133,10.233072
1/24/2016,5006.600098,13.647996,9.524287
1/26/2016,4946.399902,13.406833,9.763503
1/27/2016,4976.200195,13.487221,9.285073
1/28/2016,5005.5,13.710518,9.302793
1/31/2016,5043.600098,13.621201,9.355952
2/1/2016,4993.299805,13.326447,9.391392
2/2/2016,4876.799805,12.745872,9.276214
2/3/2016,4980.399902,13.799837,9.355952
2/4/2016,4976.200195,14.469733,9.01042
2/7/2016,4975.399902,14.621577,8.585148
2/8/2016,4832.100098,14.335753,8.780065
2/9/2016,4775.700195,13.978477,8.780065
2/10/2016,4821.100098,13.612268,8.718046
2/11/2016,4765.299805,13.478289,8.549709
2/14/2016,4843.5,14.27323,8.877523
2/15/2016,4910,14.818079,8.948401
2/16/2016,4882.100098,14.27323,11.074754
2/17/2016,4992,15.139629,12.235388
2/18/2016,4952.799805,14.835942,11.694939
2/21/2016,5001.200195,15.345063,12.359424
2/22/2016,4979.600098,15.747001,12.510042
2/23/2016,4875,14.45187,12.5632
2/24/2016,4881.200195,14.291095,12.208808
2/25/2016,4880,13.924886,12.102489
2/28/2016,4880.899902,13.907021,12.075912
2/29/2016,4922.299805,14.317891,12.270827
3/1/2016,5021.200195,14.943126,12.501181
3/2/2016,5081.100098,15.407587,12.226527
3/3/2016,5090,15.782728,12.430303
3/6/2016,5142.799805,16.568737,12.678377
3/7/2016,5108,16.265051,12.394864
3/8/2016,5157.200195,15.952436,12.403723
3/9/2016,5150.100098,16.000957,12.394864
3/10/2016,5166.399902,15.9196,12.359424
3/13/2016,5185.5,16.037117,12.279686
3/14/2016,5111.399902,15.485671,12.350565
3/15/2016,5119,15.259669,12.731536
3/16/2016,5168.200195,15.630314,12.53662
3/17/2016,5183.100098,16.36256,11.941357
3/20/2016,5166.600098,16.42584,12.130758
3/21/2016,5166.600098,16.181759,12.248007
3/22/2016,5142.299805,15.910558,12.175855
3/23/2016,5084.200195,15.368151,12.157816
3/28/2016,5004.5,15.105989,12.175855
3/29/2016,5010.299805,15.02463,12.302122
3/30/2016,5082.799805,15.241591,12.626811
3/31/2016,4999.399902,15.341029,12.302122
4/4/2016,4995.299805,14.934226,12.419372
4/5/2016,4924.399902,14.446062,12.22095
4/6/2016,4945.899902,14.590703,12.22997
4/7/2016,4964.100098,14.816706,12.22095
4/8/2016,4937.600098,14.626864,12.130758
4/11/2016,4931.5,14.961346,11.941357
4/12/2016,4975.600098,15.277751,11.616668
4/13/2016,5054.700195,16.199841,11.715878
4/14/2016,5118.600098,17.058647,11.68882
4/15/2016,5157.5,17.429293,11.634705
4/18/2016,5137.100098,16.904966,11.346092
4/19/2016,5188.799805,17.781855,11.174729
4/20/2016,5216,18.387539,10.976307
4/21/2016,5272.700195,19.029387,11.2559
4/22/2016,5236.399902,18.405622,10.994345
4/26/2016,5220.600098,17.863216,10.850039
4/27/2016,5187.700195,17.763775,11.003365
4/28/2016,5225.399902,18.595463,11.183748
4/29/2016,5252.200195,18.694906,11.201786
5/2/2016,5243,18.911865,11.228844
5/3/2016,5353.799805,18.740105,11.319036
5/4/2016,5271.100098,16.986328,11.37315
5/5/2016,5279.100098,16.660885,11.58961
5/6/2016,5292,16.688005,11.851165
5/9/2016,5320.700195,16.642803,11.860184
5/10/2016,5342.799805,16.118479,11.553534
5/11/2016,5372.299805,16.769363,11.571572
5/12/2016,5359.299805,16.805525,11.58059
5/13/2016,5329,16.452963,11.436285
5/16/2016,5358.899902,16.778406,11.273938
5/17/2016,5395.899902,17.366009,11.102576
5/18/2016,5356.200195,17.564892,10.913174
5/19/2016,5323.299805,16.914005,10.985327
5/20/2016,5351.299805,17.040569,10.958269
5/23/2016,5318.899902,16.606644,10.958269
5/24/2016,5295.600098,16.615683,10.868077
5/25/2016,5372.5,17.085768,10.850039
5/26/2016,5388.100098,17.546812,10.859057
5/27/2016,5405.899902,17.510654,10.877096
5/30/2016,5408,17.393131,11.156691
