PROD DATE,APINUMBR,WELLSTATUS,REGION,WELLTYPE,COMPLETION DATE,API GRAVITY,OILPROD,DAYS ON,GASPROD,WATRPROD,DISTRICT,FIELD
2006/01/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,196,31,72,61,4,A
2007/01/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,30,31,10,176,4,A
2007/01/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2006/02/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,212,28,82,62,4,A
2007/02/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,33,28,9,174,4,A
2007/02/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2006/03/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,227,31,83,63,4,A
2007/03/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,36,31,9,157,4,A
2007/03/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2006/04/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,205,30,75,58,4,A
2007/04/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,30,30,7,139,4,A
2007/04/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2005/05/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,16,74,31,0,34,4,A
2006/05/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,16.6,31,31,0,33,4,A
2007/05/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2007/05/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,22.9,939,31,203,21,4,A
2005/06/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,16,70,30,0,33,4,A
2006/06/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,16.6,29,30,0,32,4,A
2007/06/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2007/06/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,22.9,818,28,109,19,4,A
2005/07/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,328,26,36,166,4,A
2006/07/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,108,31,46,78,4,A
2007/07/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,118,31,5,349,4,A
2007/07/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2005/08/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,340,31,0,64,4,A
2006/08/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,58,31,25,109,4,A
2007/08/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,35,31,10,204,4,A
2007/08/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2005/09/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,266,30,92,61,4,A
2006/09/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,23.7,38,30,15,136,4,A
2007/09/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,35,30,4,198,4,A
2007/09/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2005/10/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,264,31,88,60,4,A
2006/10/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,37,31,15,133,4,A
2007/10/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,35,31,5,179,4,A
2007/10/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2005/11/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,240,30,84,66,4,A
2006/11/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,34,30,14,131,4,A
2007/11/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,36,30,5,186,4,A
2007/11/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2005/12/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,211,31,81,74,4,A
2006/12/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,34,31,14,133,4,A
2007/12/01 00:00:00,3026532,A,Gladsone,OG,12/21/2004,22.9,36,31,5,189,4,A
2007/12/01 00:00:00,3026533,I,Gladsone,OG,12/21/2004,,0,0,0,0,4,A
2005/01/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,13,0,0,0,0,4,B
2006/01/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2005/02/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2006/02/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,13,0,0,0,0,4,B
2005/03/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2006/03/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2005/04/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2006/04/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2005/05/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,13,30,30,0,60,4,B
2006/05/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,13,30,31,0,30,4,B
2005/06/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,13,0,0,0,0,4,B
2006/06/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,13,30,30,0,30,4,B
2005/07/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2006/07/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2005/08/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2006/08/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2005/09/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2006/09/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2005/10/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2006/10/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2005/11/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2006/11/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
2005/12/01 00:00:00,2932854,I,Gladsone,WS,12/20/2002,,0,0,0,0,4,B
