Date,Open,High,Low,Close,Volume,Adj Close,Stock Ticker Symbol
18/11/2010,16.4,17.17,16.29,16.99,46500100,16.99,YHOO
17/11/2010,16.21,16.33,16.11,16.15,10305800,16.15,YHOO
16/11/2010,16.45,16.49,16.1,16.24,23484100,16.24,YHOO
15/11/2010,16.56,16.89,16.33,16.6,18921100,16.6,YHOO
12/11/2010,16.65,16.75,16.4,16.55,17374100,16.55,YHOO
11/11/2010,16.63,16.86,16.52,16.8,15310600,16.8,YHOO
10/11/2010,17,17.01,16.75,16.94,17012600,16.94,YHOO
9/11/2010,17.22,17.6,16.86,16.97,56218900,16.97,YHOO
8/11/2010,16.29,16.5,16.25,16.44,15561500,16.44,YHOO
5/11/2010,16.18,16.4,16.18,16.27,13414000,16.27,YHOO
4/11/2010,16.31,16.35,16.02,16.2,26484700,16.2,YHOO
3/11/2010,16.21,16.23,16.01,16.17,17325500,16.17,YHOO
2/11/2010,16.29,16.4,16.18,16.19,9964700,16.19,YHOO
1/11/2010,16.5,16.52,16.08,16.15,14360600,16.15,YHOO
29/10/2010,16.37,16.52,16.33,16.49,16013700,16.49,YHOO
28/10/2010,16.45,16.45,16.31,16.4,12689500,16.4,YHOO
27/10/2010,16.4,16.43,16.2,16.42,13764400,16.42,YHOO
26/10/2010,16.22,16.48,16.2,16.46,22349000,16.46,YHOO
25/10/2010,16.3,16.44,16.15,16.4,17251500,16.4,YHOO
22/10/2010,15.9,16.41,15.86,16.31,24264100,16.31,YHOO
21/10/2010,15.9,16,15.73,15.97,26935500,15.97,YHOO
20/10/2010,15.79,16.25,15.79,15.8,37790200,15.8,YHOO
19/10/2010,15.73,15.8,15.37,15.49,32678600,15.49,YHOO
18/10/2010,16.2,16.28,15.75,15.93,35876500,15.93,YHOO
15/10/2010,16.17,16.73,15.9,16.25,58481800,16.25,YHOO
14/10/2010,16.75,16.76,15.75,15.93,123449900,15.93,YHOO
13/10/2010,14.57,15.48,14.5,15.25,50773400,15.25,YHOO
12/10/2010,14.36,14.47,14.27,14.43,12465700,14.43,YHOO
11/10/2010,14.45,14.58,14.38,14.41,8348200,14.41,YHOO
8/10/2010,14.21,14.56,14.18,14.49,16102900,14.49,YHOO
7/10/2010,14.6,14.61,14.14,14.23,18068600,14.23,YHOO
6/10/2010,14.6,14.7,14.34,14.52,20297000,14.52,YHOO
5/10/2010,14.45,14.77,14.4,14.61,23988400,14.61,YHOO
4/10/2010,14.2,14.32,14.13,14.28,20557500,14.28,YHOO
1/10/2010,14.19,14.35,14.13,14.27,16096500,14.27,YHOO
30/09/2010,14.26,14.35,13.99,14.17,20376200,14.17,YHOO
29/09/2010,14.36,14.39,14.06,14.34,24475700,14.34,YHOO
28/09/2010,14.33,14.45,14.14,14.39,16074100,14.39,YHOO
27/09/2010,14.46,14.53,14.25,14.28,20674000,14.28,YHOO
24/09/2010,14.3,14.51,14.24,14.5,24154800,14.5,YHOO
23/09/2010,13.93,14.24,13.93,14.17,16931600,14.17,YHOO
22/09/2010,14.19,14.25,13.97,14.04,18567400,14.04,YHOO
21/09/2010,13.94,14.26,13.92,14.18,32048400,14.18,YHOO
20/09/2010,13.95,14.06,13.84,13.86,26234600,13.86,YHOO
17/09/2010,14.33,14.33,13.88,13.89,79565400,13.89,YHOO
16/09/2010,14.2,14.23,13.98,14.19,27281500,14.19,YHOO
15/09/2010,14.03,14.35,13.77,14.27,90035400,14.27,YHOO
14/09/2010,13.76,13.76,13.6,13.63,23064500,13.63,YHOO
13/09/2010,13.83,13.88,13.61,13.73,24261400,13.73,YHOO
10/09/2010,13.68,13.77,13.54,13.68,18590100,13.68,YHOO
9/09/2010,13.88,13.92,13.57,13.65,17735500,13.65,YHOO
8/09/2010,13.66,13.82,13.62,13.75,12102700,13.75,YHOO
7/09/2010,13.56,13.62,13.5,13.53,10240600,13.53,YHOO
3/09/2010,13.69,13.75,13.56,13.62,12478500,13.62,YHOO
2/09/2010,13.33,13.55,13.26,13.51,18190200,13.51,YHOO
1/09/2010,13.2,13.41,13.13,13.37,24616700,13.37,YHOO
31/08/2010,13.11,13.14,12.94,13.11,16489500,13.11,YHOO
30/08/2010,13.27,13.42,13.18,13.18,7120900,13.18,YHOO
27/08/2010,13.24,13.47,13.03,13.43,12705600,13.43,YHOO
26/08/2010,13.36,13.4,13.21,13.21,14602700,13.21,YHOO
25/08/2010,13.29,13.37,13.14,13.26,15556800,13.26,YHOO
24/08/2010,13.53,13.64,13.39,13.4,13425800,13.4,YHOO
23/08/2010,13.81,13.87,13.54,13.65,12297600,13.65,YHOO
20/08/2010,13.85,13.95,13.74,13.79,17192200,13.79,YHOO
19/08/2010,13.85,14,13.8,13.85,14100700,13.85,YHOO
18/08/2010,13.98,14.05,13.84,13.99,15533300,13.99,YHOO
17/08/2010,13.84,14,13.75,13.94,13298600,13.94,YHOO
16/08/2010,13.75,13.9,13.68,13.79,11416400,13.79,YHOO
13/08/2010,13.81,13.96,13.76,13.83,7845600,13.83,YHOO
12/08/2010,13.77,13.99,13.75,13.85,11659900,13.85,YHOO
11/08/2010,14.14,14.2,13.84,13.87,13235500,13.87,YHOO
10/08/2010,14.26,14.46,14.2,14.35,9658000,14.35,YHOO
9/08/2010,14.34,14.52,14.34,14.4,12202600,14.4,YHOO
6/08/2010,14.06,14.38,14,14.34,13394800,14.34,YHOO
5/08/2010,14.16,14.25,14.02,14.16,13072700,14.16,YHOO
