Store Location,Store Number,Customer ID,Customer age,Gender,Date Joined,Most Recent Purchase,Electronics,Furniture,Garden,Groceries,Clothing,Toys,Departments Shopped,Number of Items Purchased,Total Amount of Purchases,
Melbourne,45,SSMM55001,61,Female,20/07/2010,7/07/2012,10013,3488,6999,5165,637,11266,6,99,37568,
Brisbane,77,SSMM55002,43,Female,22/07/2010,7/07/2012,6396,5774,7156,4449,1551,185,6,160,25511,
Perth,12,SSMM55003,55,Female,22/07/2010,6/07/2012,5586,1369,731,1369,224,354,6,139,9633,
Perth,2,SSMM55004,41,Male,22/07/2010,3/07/2012,885,1362,1431,1419,66,0,5,63,5163,
Sydney,23,SSMM55005,68,Female,22/07/2010,29/06/2012,4860,5865,5429,5394,757,18918,6,57,41223, 
Sydney,27,SSMM55006,56,Female,22/07/2010,24/06/2012,216,524,467,4286,1000,304,6,232,6797,
Melbourne,43,SSMM55007,74,Female,22/07/2010,22/06/2012,436,0,467,122,46,0,4,147,1071,
Sydney,36,SSMM55008,77,Female,22/07/2010,16/04/2012,0,238,0,684,190,0,3,145,1112,
Melbourne,54,SSMM55009,62,Male,22/07/2010,13/09/2011,153,0,0,0,0,0,1,46,153,
Perth,13,SSMM55010,65,Female,23/07/2010,25/06/2012,609,0,747,0,0,1934,3,127,3290,
Perth,7,SSMM55011,54,Female,24/07/2010,15/06/2012,1384,0,405,153,41,91,5,135,2074,
Sydney,39,SSMM55012,57,Male,24/07/2010,3/04/2012,260,471,2439,251,45,963,6,170,4429,
Sydney,23,SSMM55013,56,Female,25/07/2010,9/07/2012,5507,285,0,0,0,499,3,27,6291,
Sydney,34,SSMM55014,51,Female,25/07/2010,28/06/2012,938,2163,0,854,304,0,4,197,4259,
Brisbane,67,SSMM55015,66,Male,25/07/2010,21/06/2012,4688,4452,1186,4034,1258,1092,6,138,16710,
Brisbane,67,SSMM55016,48,Female,25/07/2010,12/06/2012,1730,1579,825,37,16,122,6,211,4309,
Brisbane,82,SSMM55017,76,Male,25/07/2010,16/04/2012,59,153,248,420,148,963,6,237,1991,
Melbourne,48,SSMM55018,65,Female,25/07/2010,14/04/2012,2150,4308,1029,169,17,0,5,243,7673,
Brisbane,79,SSMM55019,59,Female,25/07/2010,24/08/2011,527,0,0,0,0,216,2,55,743,
Brisbane,79,SSMM55020,43,Female,27/07/2010,13/07/2012,2273,1526,5130,3720,734,869,6,37,14252,
Melbourne,44,SSMM55021,53,Female,27/07/2010,16/06/2012,1862,131,869,2512,1242,279,6,125,6895,
Perth,11,SSMM55022,61,Male,27/07/2010,17/04/2012,1262,464,0,2414,122,0,4,192,4262,
Melbourne,51,SSMM55023,44,Female,29/07/2010,7/07/2012,492,91,464,1431,67,0,5,100,2545,
Sydney,30,SSMM55024,66,Female,30/07/2010,12/07/2012,2593,4377,5535,2223,456,2216,6,118,17400,
Sydney,27,SSMM55025,75,Female,30/07/2010,6/07/2012,474,379,1626,1478,23,298,6,65,4278,
Brisbane,71,SSMM55026,69,Male,30/07/2010,25/02/2012,6656,0,0,0,0,0,1,32,6656,
Sydney,38,SSMM55027,37,Female,31/07/2010,12/07/2012,712,7410,408,1855,68,0,5,90,10453,
Brisbane,74,SSMM55028,42,Female,31/07/2010,9/07/2012,379,1265,248,832,394,0,5,25,3118,
Sydney,26,SSMM55029,51,Male,31/07/2010,15/05/2012,916,285,141,4980,2267,0,5,67,8589,
Melbourne,62,SSMM55030,60,Male,31/07/2010,12/04/2012,81,2373,467,0,0,1004,4,179,3925,
Brisbane,64,SSMM55031,59,Female,1/08/2010,12/07/2012,8229,1667,1921,1488,220,6361,6,153,19886,
Melbourne,47,SSMM55032,61,Female,1/08/2010,9/07/2012,5887,612,4085,709,109,2113,6,73,13515,
Brisbane,80,SSMM55033,18,Female,2/08/2010,23/06/2012,0,417,0,5061,2321,0,3,132,7799,
Sydney,34,SSMM55034,46,Male,2/08/2010,19/05/2012,75,449,935,1312,630,0,5,151,3401,
Perth,14,SSMM55035,58,Female,2/08/2010,12/04/2012,797,609,0,0,0,756,3,58,2162,
Melbourne,61,SSMM55036,42,Male,3/08/2010,12/07/2012,587,1761,1434,3388,1585,0,5,136,8755,
Melbourne,51,SSMM55037,48,Female,3/08/2010,11/07/2012,0,681,4606,1651,724,0,4,59,7662,
Perth,14,SSMM55038,56,Female,4/08/2010,8/07/2012,3846,219,4154,1164,200,662,6,120,10245,
Brisbane,71,SSMM55039,78,Male,4/08/2010,26/06/2012,3045,1576,0,7228,424,0,4,131,12273,
Melbourne,47,SSMM55040,42,Male,4/08/2010,7/06/2012,555,282,122,521,170,0,5,233,1650,
Perth,21,SSMM55041,52,Female,5/08/2010,11/07/2012,1033,584,1582,649,175,185,6,220,4208,
Melbourne,54,SSMM55042,44,Female,5/08/2010,9/07/2012,1139,825,2373,3532,156,0,5,227,8025,
Melbourne,58,SSMM55043,27,Female,6/08/2010,13/07/2012,50,3278,1186,367,8,2150,6,32,7039,
Brisbane,73,SSMM55044,61,Male,6/08/2010,11/06/2012,2323,1491,1679,794,34,3519,6,12,9840,
Perth,15,SSMM55045,64,Female,7/08/2010,29/06/2012,3275,822,992,43,16,3987,6,22,9135,
Brisbane,67,SSMM55046,59,Female,8/08/2010,19/06/2012,1397,2436,0,3416,431,1183,5,8,8863,
